Variant,Cycle,Period,SEI Thickness [m],Growth Rate [m/cycle],Crack Length [m],Discharge Capacity [A.h],CC Capacity [A.h],CC Time [h],CV Capacity [A.h],CV Time [h],Total Charge Capacity [A.h]
No LAM,79,Cycling,2.420356167910809e-08,1.3570583073852544e-10,2.00065353676638e-08,4.0874066008236705,3.809371275275123,5.333119785387154,0.2799032450875796,0.9620075237094454,4.089274520362703
No LAM,80,Cycling,2.433851223989478e-08,1.3495056078668748e-10,2.000661863846169e-08,4.087189678215345,3.8090055160720913,5.332607722501621,0.28005302568061907,0.9630579853263441,4.08905854175271
No LAM,81,Cycling,2.4472720177454488e-08,1.3420793755970885e-10,2.0006701908729688e-08,4.086975745376896,3.8086429894018012,5.332100185162589,0.28020236008123955,0.9641149315045112,4.088845349483041
No LAM,82,Cycling,2.460619779180151e-08,1.3347761434702286e-10,2.0006785178494706e-08,4.086764564493627,3.8082835677826754,5.331596994896941,0.2803513658279164,0.9651786668310756,4.088634933610592
No LAM,83,Cycling,2.4738957054543105e-08,1.3275926274159447e-10,2.0006868447786372e-08,4.086556127036045,3.8079271249645945,5.331097974951163,0.28050021282124504,0.966249651125267,4.0884273377858396
No LAM,84,Cycling,2.4871009593425153e-08,1.3205253888204753e-10,2.0006951716635622e-08,4.086350474761977,3.8075735015906598,5.330602902225763,0.28064861783604167,0.9673252645878065,4.088222119426701
No LAM,85,Cycling,2.5002366747792154e-08,1.3135715436700096e-10,2.000703498506412e-08,4.086147169574592,3.8072225851749897,5.330111619244917,0.28079701743737084,0.9684084150804182,4.088019602612361
No LAM,86,Cycling,2.5133039522056227e-08,1.306727742640731e-10,2.000711825310162e-08,4.085946533846349,3.8068742563988023,5.32962395895828,0.2809449107655926,0.9694943214034737,4.087819167164395
No LAM,87,Cycling,2.5263038651138974e-08,1.299991290827471e-10,2.0007201520768813e-08,4.085747949268114,3.806528408389811,5.329139771746398,0.28109268295429857,0.9705858472217841,4.08762109134411
No LAM,88,Cycling,2.5392374589620627e-08,1.2933593848165332e-10,2.0007284788091865e-08,4.085551694228562,3.8061848885007468,5.3286588439009535,0.2812403070863141,0.9716819994529544,4.087425195587061
No LAM,89,Cycling,2.552105751216289e-08,1.2868292254226371e-10,2.000736805509269e-08,4.085357592277088,3.8058436398014344,5.328181095723082,0.28138764133864136,0.9727814086628541,4.087231281140076
No LAM,90,Cycling,2.56490973321703e-08,1.2803982000741022e-10,2.000745132179244e-08,4.085165442940067,3.8055045050018084,5.327706307001364,0.2815347724208963,0.9738839034713749,4.087039277422704
No LAM,91,Cycling,2.5776503728611845e-08,1.2740639644154404e-10,2.0007534588208593e-08,4.084975173955385,3.8051674262309287,5.3272343967230915,0.2816819027247406,0.9749909610009713,4.086849328955669
No LAM,92,Cycling,2.5903286121857276e-08,1.2678239324543026e-10,2.0007617854364183e-08,4.0847869378078965,3.804832286849518,5.326765201589822,0.2818287798587531,0.9761000518865153,4.086661066708271
No LAM,93,Cycling,2.6029453710029256e-08,1.2616758817198007e-10,2.0007701120276012e-08,4.084600360590462,3.8044989880177678,5.326298583224947,0.28197564867420155,0.9772127455401645,4.086474636691969
No LAM,94,Cycling,2.6155015457844965e-08,1.2556174781570952e-10,2.0007784385961316e-08,4.084415589793966,3.8041674450949987,5.325834423132896,0.28212238704523873,0.978327499346122,4.086289832140237
No LAM,95,Cycling,2.6279980115616508e-08,1.2496465777154278e-10,2.000786765143848e-08,4.084232420402771,3.8038375775958757,5.325372608635405,0.28226906731109747,0.9794447072425214,4.086106644906973
No LAM,96,Cycling,2.6404356219913573e-08,1.2437610429706508e-10,2.000795091672213e-08,4.08405084500315,3.803509318762412,5.324913046267525,0.2824156541317926,0.9805636414018863,4.085924972894205
No LAM,97,Cycling,2.652815210287078e-08,1.237958829572085e-10,2.000803418182801e-08,4.0838707607096225,3.8031825781696984,5.324455609437479,0.28256214599253937,0.9816840553442177,4.085744724162238
No LAM,98,Cycling,2.6651375904116127e-08,1.2322380124534594e-10,2.0008117446768144e-08,4.0836920756359465,3.8028572851280966,5.32400019918046,0.2827086243232215,0.9828062796384813,4.085565909451319
No LAM,99,Cycling,2.677403555585128e-08,1.2265965173515233e-10,2.0008200711558247e-08,4.0835148046136,3.802533370023669,5.323546718034038,0.2828548259706958,0.983927964340495,4.085388195994365
No LAM,100,Cycling,2.6896138826608143e-08,1.2210327075686334e-10,2.0008283976204192e-08,4.0833386113326675,3.802210773279201,5.323095082592346,0.2830011550421836,0.9850517929452849,4.085211928321385
No LAM,101,Post-Rest (96hr),2.7813950502217846e-08,9.178116756097027e-10,2.0008367308507578e-08,4.08082907613061,3.799515522566743,5.319321731593583,0.2842048150827705,0.9944696169652829,4.083720337649513
No LAM,102,Cycling,2.7931535319061078e-08,1.1758481684323175e-10,2.0008450567696563e-08,4.081683113333036,3.7992009523864345,5.318881333341022,0.28435035051468516,0.9955852416442532,4.083551302901119
No LAM,103,Cycling,2.804863021264011e-08,1.170948935790328e-10,2.0008533826788652e-08,4.08151541155751,3.798887030328672,5.31844184246026,0.28449568381824264,0.996697724560164,4.083382714146914
No LAM,104,Cycling,2.8165241282703733e-08,1.1661107006362268e-10,2.0008617085783127e-08,4.081348142661859,3.798573685851262,5.318003160194017,0.28464094869510115,0.9978072930460016,4.083214634546364
No LAM,105,Cycling,2.828137449788185e-08,1.1613321517811767e-10,2.0008700344681e-08,4.081181363631684,3.798260902459414,5.317565263441793,0.2847859833512967,0.9989131868006638,4.0830468858107105
No LAM,106,Cycling,2.83970356884889e-08,1.1566119060705019e-10,2.0008783603479536e-08,4.081014901389987,3.7979486266713236,5.317128077338978,0.28493061667396047,1.00001375020436,4.082879243345284
No LAM,107,Cycling,2.8512230569919483e-08,1.1519488143058169e-10,2.0008866862170923e-08,4.08084852719572,3.7976368262514715,5.316691556750683,0.2850749872828833,1.0011098563959848,4.082711813534354
No LAM,108,Cycling,2.8626964743321278e-08,1.14734173401795e-10,2.000895012075125e-08,4.080682352611807,3.797325435146008,5.316255609202642,0.2852191232417245,1.0022014882473798,4.082544558387733
No LAM,109,Cycling,2.8741243680357553e-08,1.1427893703627553e-10,2.0009033379217138e-08,4.080516335063444,3.7970144359016516,5.315820210260597,0.28536276598251176,1.0032865082334297,4.082377201884164
No LAM,110,Cycling,2.8855072743838893e-08,1.1382906348133949e-10,2.000911663755789e-08,4.080350202940446,3.7967038179751964,5.315385345162952,0.2855059561581288,1.0043653627463698,4.082209774133325
No LAM,111,Cycling,2.8968457189480584e-08,1.1338444564169128e-10,2.0009199895764392e-08,4.0801839839376,3.7963935753996676,5.314951005559783,0.28564863834143184,1.0054377965280317,4.082042213741099
No LAM,112,Cycling,2.9081402148927493e-08,1.129449594469094e-10,2.0009283153827078e-08,4.0800176201303655,3.796083697313625,5.3145171762387236,0.28579052603699573,1.006501172879819,4.081874223350621
No LAM,113,Cycling,2.9193912667196505e-08,1.1251051826901197e-10,2.000936641172944e-08,4.0798508065091195,3.795774176505203,5.314083847105266,0.2859318363392753,1.0075576929006047,4.081706012844478
No LAM,114,Cycling,2.930599367605384e-08,1.1208100885733481e-10,2.0009449669462692e-08,4.079683767620352,3.7954650266107373,5.313651037256115,0.2860722644961058,1.0086048319176228,4.081537291106843
No LAM,115,Cycling,2.9417650007388056e-08,1.1165633133421627e-10,2.0009532927009856e-08,4.079516198939379,3.795156215934048,5.313218702307111,0.2862117685318113,1.009642437345292,4.081367984465859
No LAM,116,Cycling,2.9528886390367382e-08,1.1123638297932561e-10,2.0009616184353225e-08,4.07934803208532,3.7948477579053095,5.312786861069057,0.28635018208051655,1.0106691621952564,4.081197939985826
