Variant,Cycle,SEI Thickness [m],Growth Rate [m/cycle],Crack Length [m],Discharge Capacity [A.h],CC Capacity [A.h],CC Time [h],CV Capacity [A.h],CV Time [h],Total Charge Capacity [A.h]
Scale 0.1,52,2.6332469101006056e-08,1.2517990524608423e-10,2.067031912046301e-08,3.974502620202967,3.693246381496536,5.1705449340955205,0.28286971631555846,0.969118264406422,3.9761160978120946
Scale 0.1,53,2.645707464940846e-08,1.2460554840240516e-10,2.068349861375031e-08,3.973799497928875,3.692486232034007,5.169480724847098,0.28292758356607256,0.9694473899413296,3.9754138156000796
Scale 0.1,54,2.6581114049437758e-08,1.240394000292964e-10,2.069668942145063e-08,3.9730986147907124,3.6917278304066303,5.168418962568559,0.28298586363885436,0.9697825013486394,3.9747136940454846
Scale 0.1,55,2.6704595317729374e-08,1.2348126829161617e-10,2.0709891560969863e-08,3.9723998753800656,3.690971134400509,5.167359588164459,0.28304456744218864,0.9701234659825957,3.974015701842698
Scale 0.1,56,2.682752628733115e-08,1.229309696017759e-10,2.0723105049659494e-08,3.9717032395631957,3.690216129377706,5.166302581130083,0.28310367386168606,0.9704702716378222,3.973319803239392
Scale 0.1,57,2.6949914612382284e-08,1.2238832505113415e-10,2.0736329904730625e-08,3.9710086795621504,3.6894627692591286,5.165247876961217,0.2831631973348928,0.9708227938477165,3.9726259665940216
Scale 0.1,58,2.707176777268679e-08,1.2185316030450458e-10,2.074956614331531e-08,3.9703161614912155,3.688711019404125,5.164195427161857,0.2832231096544983,0.9711807853037016,3.9719341290586234
Scale 0.1,59,2.7193093078426712e-08,1.213253057399231e-10,2.0762813782335117e-08,3.9696256196328403,3.687960865992693,5.163145212388514,0.28328335658687265,0.9715439394491483,3.971244222579566
Scale 0.1,60,2.7313897679848465e-08,1.2080460142175354e-10,2.0776072838997212e-08,3.968936996483091,3.687212260768137,5.162097165077796,0.28334400912113566,0.971912510943099,3.970556269889273
Scale 0.1,61,2.7434188567599967e-08,1.2029088775150207e-10,2.0789343330516258e-08,3.9682503024824642,3.6864651998447524,5.161051279782544,0.2834049774200098,0.972286027565076,3.969870177264762
Scale 0.1,62,2.7553972576798796e-08,1.1978400919882848e-10,2.0802625273612537e-08,3.9675654495399506,3.685719629715162,5.160007481600399,0.28346625458676356,0.9726641872721267,3.9691858843019254
Scale 0.1,63,2.7673256395624626e-08,1.1928381882583044e-10,2.0815918685394285e-08,3.9668823811496283,3.684975539883836,5.158965755837386,0.2835278365627925,0.9730470290343618,3.9685033764466286
Scale 0.1,64,2.779204656588722e-08,1.1879017026259416e-10,2.0829223582476386e-08,3.966201078069243,3.6842328863986284,5.157926040955871,0.28358968754949965,0.9734341302708529,3.967822573948128
Scale 0.1,65,2.791034948863522e-08,1.1830292274799995e-10,2.084253998184532e-08,3.9655214671774823,3.6834916552983734,5.156888317416353,0.28365177575275574,0.9738252580316811,3.967143431051129
Scale 0.1,66,2.8028171428001423e-08,1.1782193936620291e-10,2.085586789999401e-08,3.96484349496372,3.682751827166634,5.15585255803326,0.2837140667964046,0.9742201497962668,3.9664658939630386
Scale 0.1,67,2.81455185163126e-08,1.1734708831117706e-10,2.086920735367019e-08,3.964167113178097,3.6820133761486638,5.154818726607758,0.2837765438491423,0.9746186595772031,3.965789919997806
Scale 0.1,68,2.8262396756079826e-08,1.168782397672253e-10,2.0882558359269905e-08,3.9634922799580035,3.6812762887849004,5.153786804299884,0.28383915631119866,0.9750204102820419,3.965115445096099
Scale 0.1,69,2.8378812023938433e-08,1.1641526785860777e-10,2.08959209333974e-08,3.9628189266583216,3.680540545004267,5.1527567629983935,0.28390186347574875,0.9754250971400893,3.964442408480016
Scale 0.1,70,2.849477007478653e-08,1.1595805084809823e-10,2.0909295092582498e-08,3.9621470000236068,3.67980612241112,5.151728571377873,0.2839646475712245,0.9758324736923214,3.963770769982345
Scale 0.1,71,2.8610276544337116e-08,1.1550646955058402e-10,2.092268085312701e-08,3.9614764546327916,3.6790730033413817,5.150702204678313,0.284027450392523,0.9762421724103287,3.9631004537339045
Scale 0.1,72,2.872533695299303e-08,1.1506040865591317e-10,2.093607823144089e-08,3.960807216086296,3.6783411710851976,5.149677639519144,0.2840902389049227,0.9766539373398295,3.9624314099901206
Scale 0.1,73,2.8839956708992304e-08,1.1461975599927472e-10,2.0949487243580263e-08,3.9601392365535393,3.677610603888001,5.148654845443183,0.2841529914363973,0.9770674880452361,3.961763595324398
Scale 0.1,74,2.895414111067154e-08,1.1418440167923565e-10,2.0962907905909133e-08,3.9594724719322,3.676881285864632,5.14763380021062,0.2842156439185653,0.9774824007553704,3.961096929783197
Scale 0.1,75,2.906789534995529e-08,1.1375423928375156e-10,2.097634023521104e-08,3.958806842249631,3.6761531978858044,5.146614477038867,0.2842781609657755,0.9778983863370598,3.96043135885158
Scale 0.1,76,2.918122451522342e-08,1.1332916526813014e-10,2.0989784246698308e-08,3.958142293588982,3.6754263293955995,5.1455968611447105,0.2843405032309745,0.9783151741008567,3.959766832626574
Scale 0.1,77,2.9294133591378942e-08,1.1290907615552116e-10,2.1003239956971087e-08,3.9574787759716523,3.674700632759513,5.144580885868152,0.2844026210867656,0.9787320777122801,3.9591032538462785
