# OCP data for LG INR18650-MJ1 NMC811 cathode
# sto,ocp
    0.887685,     3.597091
    0.888685,     3.596314
    0.889685,     3.595649
    0.890685,     3.594862
    0.891685,     3.594201
    0.892685,     3.593593
    0.893685,     3.592904
    0.894685,     3.592224
    0.895685,     3.591494
    0.896685,     3.590914
    0.897685,     3.590294
    0.898685,     3.589627
    0.899685,     3.588944
    0.900685,     3.588318
    0.901685,     3.587650
    0.902685,     3.587069
    0.903685,     3.586192
    0.904685,     3.585838
    0.905685,     3.585278
    0.906685,     3.584612
    0.907685,     3.584095
    0.908685,     3.583494
    0.909685,     3.582892
    0.910685,     3.582287
    0.911685,     3.581717
    0.912685,     3.581152
    0.913685,     3.580619
    0.914685,     3.580059
    0.915685,     3.579484
    0.916685,     3.578888
    0.917685,     3.578338
    0.918685,     3.577827
    0.919685,     3.577307
    0.920685,     3.576724
    0.921685,     3.576186
    0.922685,     3.575667
    0.923685,     3.575239
    0.924685,     3.574653
    0.925685,     3.574116
    0.926685,     3.573537
    0.927685,     3.573052
    0.928685,     3.572610
    0.929685,     3.572073
    0.930685,     3.571578
    0.931685,     3.571073
    0.932685,     3.570621
    0.933685,     3.570028
    0.934685,     3.569538
    0.935685,     3.569071
    0.936685,     3.568588
    0.937685,     3.568090
    0.938685,     3.567692
    0.939685,     3.567081
    0.940685,     3.566568
    0.941685,     3.566100
    0.942685,     3.565633
    0.943685,     3.565154
    0.944685,     3.564690
    0.945685,     3.564111
    0.946685,     3.563677
    0.947685,     3.563126
    0.948685,     3.562663
    0.949685,     3.562169
    0.950685,     3.561666
    0.951685,     3.561110
    0.952685,     3.560628
    0.953685,     3.560125
    0.954685,     3.559639
    0.955685,     3.559247
    0.956685,     3.558649
    0.957685,     3.558186
    0.958685,     3.557609
    0.959685,     3.557075
    0.960685,     3.556606
    0.961685,     3.556110
    0.962685,     3.555210
    0.963685,     3.554990
    0.964685,     3.554417
    0.965685,     3.553855
    0.966685,     3.553330
    0.967685,     3.552806
    0.968685,     3.552205
    0.969685,     3.551628
    0.970685,     3.551081
    0.971685,     3.550566
    0.972685,     3.549930
    0.973685,     3.549307
    0.974685,     3.548670
    0.975685,     3.548016
    0.976685,     3.547392
    0.977685,     3.546792
    0.978685,     3.546072
    0.979685,     3.545374
    0.980685,     3.544703
    0.981685,     3.544001
    0.982685,     3.543242
    0.983685,     3.542444
    0.984685,     3.541683
    0.985685,     3.540879
    0.986685,     3.540016
    0.987685,     3.539107
    0.988685,     3.538171
    0.989685,     3.537123
    0.990685,     3.536024
    0.991685,     3.534812
    0.992685,     3.533295
    0.993685,     3.531465
    0.994685,     3.529007
    0.995000,     3.528113
    0.995050,     3.527946
    0.995100,     3.527777
    0.995150,     3.527614
    0.995200,     3.527455
    0.995250,     3.527296
    0.995300,     3.527138
    0.995350,     3.526974
    0.995400,     3.526792
    0.995450,     3.526607
    0.995500,     3.526435
    0.995550,     3.526269
    0.995600,     3.526100
    0.995650,     3.525932
    0.995700,     3.525754
    0.995750,     3.525566
    0.995800,     3.525358
    0.995850,     3.525125
    0.995900,     3.524879
    0.995950,     3.524642
    0.996000,     3.524446
    0.996050,     3.524252
    0.996100,     3.524052
    0.996150,     3.523826
    0.996200,     3.523570
    0.996250,     3.523352
    0.996300,     3.523142
    0.996350,     3.522920
    0.996400,     3.522689
    0.996450,     3.522444
    0.996500,     3.522163
    0.996550,     3.521873
    0.996600,     3.521590
    0.996650,     3.521310
    0.996700,     3.521015
    0.996750,     3.520739
    0.996800,     3.520484
    0.996850,     3.520214
    0.996900,     3.519892
    0.996950,     3.519616
    0.997000,     3.519015
    0.997050,     3.518514
    0.997100,     3.518336
    0.997150,     3.518136
    0.997200,     3.517806
    0.997250,     3.517391
    0.997300,     3.517013
    0.997350,     3.516661
    0.997400,     3.516270
    0.997450,     3.515823
    0.997500,     3.515344
    0.997550,     3.514920
    0.997600,     3.514461
    0.997650,     3.513987
    0.997700,     3.513506
    0.997750,     3.513020
    0.997800,     3.512448
    0.997850,     3.511913
    0.997900,     3.511288
    0.997950,     3.510743
    0.998000,     3.510180
    0.998050,     3.509458
    0.998100,     3.508797
    0.998150,     3.508091
    0.998200,     3.507343
    0.998250,     3.506557
    0.998300,     3.505671
    0.998350,     3.504771
    0.998400,     3.503914
    0.998450,     3.502845
    0.998500,     3.501785
    0.998550,     3.500692
    0.998600,     3.499422
    0.998650,     3.498168
    0.998700,     3.496674
    0.998750,     3.495118
    0.998800,     3.493390
    0.998850,     3.491435
    0.998900,     3.489343
    0.998950,     3.486958
    0.999000,     3.484231
    0.999050,     3.481049
    0.999100,     3.477439
    0.999150,     3.473165
    0.999200,     3.468013
    0.999250,     3.461844
    0.999300,     3.454466
    0.999350,     3.445499
    0.999400,     3.434623
    0.999450,     3.421839
    0.999500,     3.406766
    0.999550,     3.389594
    0.999600,     3.370132
    0.999650,     3.348762
    0.999700,     3.324340
    0.999750,     3.296864
    0.999800,     3.265191
    0.999850,     3.228175
    0.999900,     3.183146
    0.999950,     3.123616
    1.000000,     3.023636
