Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity,,Current Shunt
21.053,4.176211684,0,24.70407637,25.26166092,14.93431022,-0.888745552,477,14,100.2,0,22.8125,0,1.032,,0.888745552
21.153,4.176371156,0,24.7238314,25.26166092,14.77247532,-0.809049042,477,14,100.2,0,22.8125,0,1.032,,0.809049042
21.253,4.176331288,0,24.71395393,25.27152755,14.51030278,-0.781155264,477,14,100.2,0,22.8125,0,1.032,,0.781155264
21.353,4.176251552,0,24.69419872,25.27152755,14.3193376,-0.832957995,478,14,100.2,0,22.8125,0,1.032,,0.832957995
21.453,4.176211684,0,24.71395393,25.26166092,14.27402383,-0.773185613,478,14,100.2,0,22.8125,0,1.032,,0.773185613
21.553,4.176331288,0,24.69419872,25.29126054,14.29020732,-0.844912472,478,14,100.2,0,22.8125,0,1.032,,0.844912472
21.653,4.17629142,0,24.71395393,25.28139409,14.325811,-0.761231137,478,14,100.2,0,22.8125,0,1.032,,0.761231137
21.753,4.176331288,0,24.70407637,25.2517942,14.28697062,-0.848897297,478,14,100.2,0,22.8125,0,1.032,,0.848897297
21.853,4.17629142,0,24.68432098,25.27152755,14.28049723,-0.757246311,478,14,100.2,0,22.8125,0,1.032,,0.757246311
21.953,4.17629142,0,24.69419872,25.2419274,14.26755044,-0.789124915,478,14,100.2,0,22.8125,0,1.032,,0.789124915
22.053,4.176251552,0,24.68432098,25.27152755,14.29668072,-0.880775901,478,14,100.2,0,22.8125,0,1.032,,0.880775901
22.153,4.176371156,0,24.70407637,25.27152755,14.22871006,-0.745291835,478,14,100.2,0,22.8125,0,1.032,,0.745291835
22.253,4.176331288,0,24.70407637,25.27152755,14.25460365,-0.821003519,478,14,100.2,0,22.8125,0,1.032,,0.821003519
22.353,4.176371156,0,24.68432098,25.27152755,14.25460365,-0.880775901,478,14,100.2,0,22.8125,0,1.032,,0.880775901
22.453,4.17629142,0,24.70407637,25.27152755,14.27402383,-0.813033868,478,14,100.2,0,22.8125,0,1.032,,0.813033868
22.553,4.17629142,0,24.70407637,25.26166092,14.27402383,-0.896715203,478,14,100.2,0,22.8125,0,1.032,,0.896715203
22.653,4.17629142,0,24.70407637,25.27152755,14.26107704,-0.840927646,478,14,100.2,0,22.8125,0,1.032,,0.840927646
22.753,4.176251552,0,24.7238314,25.27152755,14.27726053,-0.717398057,476,14,100.2,0,22.8125,0,1.032,,0.717398057
22.853,4.176251552,0,24.71395393,25.3011269,14.21576327,-0.908669679,476,14,100.2,0,22.8125,0,1.032,,0.908669679
22.953,4.17629142,0,24.71395393,25.27152755,14.25460365,-0.797094566,476,14,100.2,0,22.8125,0,1.032,,0.797094566
23.053,4.176251552,0,24.70407637,25.28139409,14.26107704,-0.860851774,476,14,100.2,0,22.8125,0,1.032,,0.860851774
23.153,4.17629142,0,24.71395393,25.28139409,14.25136695,-0.797094566,476,14,100.2,0,22.8125,0,1.032,,0.797094566
23.253,4.176331288,0,24.67444315,25.26166092,14.23518346,-0.78514009,476,14,100.2,0,22.8125,0,1.032,,0.78514009
23.353,4.176251552,0,24.70407637,25.26166092,14.24813025,-0.753261486,476,14,100.2,0,22.8125,0,1.032,,0.753261486
23.453,4.17629142,0,24.71395393,25.2419274,14.26431374,-0.852882123,477,14,100.2,0,22.8125,0,1.032,,0.852882123
23.553,4.17629142,0,24.70407637,25.27152755,14.22223667,-0.797094566,477,14,100.2,0,22.8125,0,1.032,,0.797094566
23.653,4.17629142,0,24.73370878,25.27152755,14.21899997,-0.852882123,477,14,100.2,0,22.8125,0,1.032,,0.852882123
23.753,4.17629142,0,24.70407637,25.27152755,14.27726053,-0.805064217,477,14,100.2,0,22.8125,0,1.032,,0.805064217
23.853,4.176251552,0,24.7238314,25.29126054,14.23194676,-0.852882123,477,14,100.2,0,22.8125,0,1.032,,0.852882123
23.953,4.176251552,0,24.69419872,25.26166092,14.20928987,-0.781155264,477,14,100.2,0,22.8125,0,1.032,,0.781155264
24.053,4.176331288,0,24.68432098,25.26166092,14.20928987,-0.821003519,477,14,100.2,0,22.8125,0,1.032,,0.821003519
24.153,4.176331288,0,24.7238314,25.26166092,14.23842016,-0.848897297,477,14,100.2,0,22.8125,0,1.032,,0.848897297
24.253,4.176331288,0,24.74358607,25.2419274,14.20281648,-0.836942821,477,14,100.2,0,22.8125,0,1.032,,0.836942821
24.353,4.17629142,0,24.71395393,25.29126054,14.22871006,-0.82897317,477,14,100.2,0,22.8125,0,1.032,,0.82897317
24.453,4.176251552,0,24.68432098,25.26166092,14.23194676,-0.777170439,477,14,100.2,0,22.8125,0,1.032,,0.777170439
24.553,4.17629142,0,24.70407637,25.26166092,14.26431374,-0.824988344,477,14,100.2,0,22.8125,0,1.032,,0.824988344
24.653,4.176331288,0,24.69419872,25.26166092,14.24165685,-0.824988344,477,14,100.2,0,22.8125,0,1.032,,0.824988344
24.753,4.17629142,0,24.67444315,25.26166092,14.24489355,-0.852882123,477,14,100.2,0,22.8125,0,1.033,,0.852882123
