# OCP data for LG INR18650-MJ1 SiC anode
# sto,ocp
    0.532000,     0.079118
    0.533000,     0.079115
    0.534000,     0.079112
    0.535000,     0.079109
    0.536000,     0.079105
    0.537000,     0.079101
    0.538000,     0.079098
    0.539000,     0.079094
    0.540000,     0.079090
    0.541000,     0.079085
    0.542000,     0.079081
    0.543000,     0.079076
    0.544000,     0.079071
    0.545000,     0.079066
    0.546000,     0.079061
    0.547000,     0.079056
    0.548000,     0.079051
    0.549000,     0.079045
    0.550000,     0.079039
    0.551000,     0.079034
    0.552000,     0.079028
    0.553000,     0.079022
    0.554000,     0.079015
    0.555000,     0.079009
    0.556000,     0.079003
    0.557000,     0.078996
    0.558000,     0.078989
    0.559000,     0.078982
    0.560000,     0.078975
    0.561000,     0.078968
    0.562000,     0.078961
    0.563000,     0.078954
    0.564000,     0.078946
    0.565000,     0.078939
    0.566000,     0.078931
    0.567000,     0.078924
    0.568000,     0.078916
    0.569000,     0.078908
    0.570000,     0.078900
    0.571000,     0.078892
    0.572000,     0.078884
    0.573000,     0.078876
    0.574000,     0.078867
    0.575000,     0.078859
    0.576000,     0.078851
    0.577000,     0.078842
    0.578000,     0.078834
    0.579000,     0.078825
    0.580000,     0.078816
    0.581000,     0.078808
    0.582000,     0.078799
    0.583000,     0.078790
    0.584000,     0.078781
    0.585000,     0.078772
    0.586000,     0.078763
    0.587000,     0.078754
    0.588000,     0.078744
    0.589000,     0.078733
    0.590000,     0.078721
    0.591000,     0.078708
    0.592000,     0.078694
    0.593000,     0.078680
    0.594000,     0.078664
    0.595000,     0.078648
    0.596000,     0.078631
    0.597000,     0.078614
    0.598000,     0.078597
    0.599000,     0.078579
    0.600000,     0.078560
    0.601000,     0.078542
    0.602000,     0.078523
    0.603000,     0.078505
    0.604000,     0.078486
    0.605000,     0.078468
    0.606000,     0.078449
    0.607000,     0.078431
    0.608000,     0.078413
    0.609000,     0.078396
    0.610000,     0.078379
    0.611000,     0.078363
    0.612000,     0.078346
    0.613000,     0.078330
    0.614000,     0.078314
    0.615000,     0.078297
    0.616000,     0.078281
    0.617000,     0.078265
    0.618000,     0.078249
    0.619000,     0.078232
    0.620000,     0.078216
    0.621000,     0.078199
    0.622000,     0.078183
    0.623000,     0.078166
    0.624000,     0.078150
    0.625000,     0.078133
    0.626000,     0.078116
    0.627000,     0.078100
    0.628000,     0.078083
    0.629000,     0.078065
    0.630000,     0.078048
    0.631000,     0.078031
    0.632000,     0.078013
    0.633000,     0.077995
    0.634000,     0.077977
    0.635000,     0.077960
    0.636000,     0.077941
    0.637000,     0.077923
    0.638000,     0.077905
    0.639000,     0.077887
    0.640000,     0.077868
    0.641000,     0.077849
    0.642000,     0.077831
    0.643000,     0.077812
    0.644000,     0.077793
    0.645000,     0.077773
    0.646000,     0.077754
    0.647000,     0.077734
    0.648000,     0.077715
    0.649000,     0.077695
    0.650000,     0.077675
    0.651000,     0.077654
    0.652000,     0.077634
    0.653000,     0.077613
    0.654000,     0.077592
    0.655000,     0.077571
    0.656000,     0.077551
    0.657000,     0.077530
    0.658000,     0.077509
    0.659000,     0.077487
    0.660000,     0.077466
    0.661000,     0.077444
    0.662000,     0.077422
    0.663000,     0.077399
    0.664000,     0.077376
    0.665000,     0.077353
    0.666000,     0.077329
    0.667000,     0.077304
    0.668000,     0.077278
    0.669000,     0.077252
    0.670000,     0.077225
    0.671000,     0.077196
    0.672000,     0.077165
    0.673000,     0.077133
    0.674000,     0.077100
    0.675000,     0.077066
    0.676000,     0.077031
    0.677000,     0.076996
    0.678000,     0.076961
    0.679000,     0.076925
    0.680000,     0.076891
    0.681000,     0.076857
    0.682000,     0.076824
    0.683000,     0.076791
    0.684000,     0.076759
    0.685000,     0.076728
    0.686000,     0.076696
    0.687000,     0.076665
    0.688000,     0.076632
    0.689000,     0.076599
    0.690000,     0.076565
    0.691000,     0.076530
    0.692000,     0.076494
    0.693000,     0.076455
    0.694000,     0.076414
    0.695000,     0.076371
    0.696000,     0.076326
    0.697000,     0.076279
    0.698000,     0.076232
    0.699000,     0.076185
    0.700000,     0.076138
    0.701000,     0.076093
    0.702000,     0.076048
    0.703000,     0.076004
    0.704000,     0.075960
    0.705000,     0.075916
    0.706000,     0.075872
    0.707000,     0.075828
    0.708000,     0.075784
    0.709000,     0.075739
    0.710000,     0.075694
    0.711000,     0.075649
    0.712000,     0.075603
    0.713000,     0.075557
    0.714000,     0.075511
    0.715000,     0.075465
    0.716000,     0.075417
    0.717000,     0.075369
    0.718000,     0.075319
    0.719000,     0.075268
    0.720000,     0.075215
    0.721000,     0.075160
    0.722000,     0.075105
    0.723000,     0.075050
    0.724000,     0.074996
    0.725000,     0.074942
    0.726000,     0.074891
    0.727000,     0.074841
    0.728000,     0.074791
    0.729000,     0.074741
    0.730000,     0.074691
    0.731000,     0.074640
    0.732000,     0.074586
    0.733000,     0.074530
    0.734000,     0.074472
    0.735000,     0.074412
    0.736000,     0.074350
    0.737000,     0.074286
    0.738000,     0.074221
    0.739000,     0.074153
    0.740000,     0.074082
    0.741000,     0.074007
    0.742000,     0.073931
    0.743000,     0.073854
    0.744000,     0.073779
    0.745000,     0.073705
    0.746000,     0.073632
    0.747000,     0.073557
    0.748000,     0.073481
    0.749000,     0.073402
    0.750000,     0.073318
    0.751000,     0.073230
    0.752000,     0.073142
    0.753000,     0.073055
    0.754000,     0.072972
    0.755000,     0.072891
    0.756000,     0.072811
    0.757000,     0.072729
    0.758000,     0.072645
    0.759000,     0.072556
    0.760000,     0.072466
    0.761000,     0.072373
    0.762000,     0.072280
    0.763000,     0.072184
    0.764000,     0.072087
    0.765000,     0.071989
    0.766000,     0.071894
    0.767000,     0.071804
    0.768000,     0.071717
    0.769000,     0.071629
    0.770000,     0.071537
    0.771000,     0.071437
    0.772000,     0.071331
    0.773000,     0.071221
    0.774000,     0.071108
    0.775000,     0.070995
    0.776000,     0.070877
    0.777000,     0.070756
    0.778000,     0.070627
    0.779000,     0.070493
    0.780000,     0.070360
    0.781000,     0.070231
    0.782000,     0.070102
    0.783000,     0.069971
    0.784000,     0.069837
    0.785000,     0.069701
    0.786000,     0.069560
    0.787000,     0.069414
    0.788000,     0.069262
    0.789000,     0.069101
    0.790000,     0.068932
    0.791000,     0.068777
    0.792000,     0.068637
    0.793000,     0.068494
    0.794000,     0.068333
    0.795000,     0.068159
    0.796000,     0.067975
    0.797000,     0.067780
    0.798000,     0.067582
    0.799000,     0.067380
    0.800000,     0.067157
    0.801000,     0.066925
    0.802000,     0.066709
    0.803000,     0.066477
    0.804000,     0.066218
    0.805000,     0.065979
    0.806000,     0.065748
    0.807000,     0.065520
    0.808000,     0.065263
    0.809000,     0.064976
    0.810000,     0.064679
    0.811000,     0.064394
    0.812000,     0.064055
    0.813000,     0.063707
    0.814000,     0.063363
    0.815000,     0.062994
    0.816000,     0.062651
    0.817000,     0.062292
    0.818000,     0.061894
    0.819000,     0.061470
    0.820000,     0.060961
    0.821000,     0.060493
    0.822000,     0.060010
    0.823000,     0.059529
    0.824000,     0.059030
    0.825000,     0.058461
    0.826000,     0.057838
    0.827000,     0.057204
    0.828000,     0.056570
    0.829000,     0.055923
    0.830000,     0.055137
    0.831000,     0.054329
    0.832000,     0.053504
    0.833000,     0.052672
    0.834000,     0.051720
    0.835000,     0.050727
    0.836000,     0.049763
    0.837000,     0.048562
    0.838000,     0.047412
    0.839000,     0.046206
    0.840000,     0.044865
    0.841000,     0.043638
    0.842000,     0.042208
    0.843000,     0.040838
    0.844000,     0.039340
    0.845000,     0.037902
    0.846000,     0.036304
    0.847000,     0.034866
    0.848000,     0.033379
    0.849000,     0.032001
    0.850000,     0.030694
    0.851000,     0.029481
    0.852000,     0.028540
    0.853000,     0.027577
    0.854000,     0.026645
    0.855000,     0.025779
    0.856000,     0.024779
    0.857000,     0.023630
    0.858000,     0.022459
    0.859000,     0.021058
    0.860000,     0.019619
    0.861000,     0.018002
    0.862000,     0.016407
    0.863000,     0.014654
    0.864000,     0.012887
    0.865000,     0.011009
    0.865079,     0.010869
    0.865319,     0.010488
    0.865533,     0.010107
    0.865721,     0.009725
